"","VM","Disk","Capacity.MB_tabvDisk","Path","Cluster","OS","DataCenter","Name","path_","Powerstate","Provisioned.MB_tabvInfo","Address","Capacity.MB","Provisioned.MB","In.Use.MB","Free.MB","wwn","Sym","Bound_Pool_Name","Flgs_EMPT","Total_GBs","Total_Allocated_GBs","Total_Allocated_GBs_pct","Total_Written_GBs","Total_Written_GBs_pct","Compressed_Size_Ratio_GBs","Compressed_Size_Ratio_GBs_pct","vmax","Physical","Config","Attr","conteo","Pct_Allocated_Sym","Capacidad_disk_toSym_real","Capacidad_disk_toSym_fantasia","Capacity.TB_tabvDisk"
"1","tragfpromsql01","Hard disk 5",1939865,"[snap-0a538ecb-trclmty02_16_NoConstruir_migración] tragfpromsql01/tragfpromsql01.vmdk","cpnbd02","Microsoft Windows Server 2012 (64-bit)","CPN","snap-0a538ecb-trclmty02_16_noconstruir_migraci<U+3E33663C>n"," tragfpromsql01/tragfpromsql01.vmdk","poweredOn",13413298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1894.3994140625
"2","tratspromsql01","Hard disk 12",512000,"[snap-38316259-trclmty_70_NoConstruir_migración] tratspromsql01/tratspromsql01.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-38316259-trclmty_70_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500
"3","tratspromsql01","Hard disk 10",256000,"[snap-5abfb02e-trldmz01_NoConstruir_migración] tratspromsql01/tratspromsql01_11.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-5abfb02e-trldmz01_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_11.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250
"4","tratspromsql01","Hard disk 9",3072009,"[snap-0c91bc8c-trldmz03_NoConstruir_migración] tratspromsql01/tratspromsql01_2.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-0c91bc8c-trldmz03_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_2.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000.0087890625
"5","tratspromsql01","Hard disk 13",512000,"[snap-38316259-trclmty_70_NoConstruir_migración] tratspromsql01/tratspromsql01_1.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-38316259-trclmty_70_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_1.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500
"6","tratspromsql01","Hard disk 7",1226833,"[snap-0c91bc8c-trldmz03_NoConstruir_migración] tratspromsql01/tratspromsql01.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-0c91bc8c-trldmz03_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1198.0791015625
"7","tratspromsql01","Hard disk 8",3072009,"[snap-0c91bc8c-trldmz03_NoConstruir_migración] tratspromsql01/tratspromsql01_1.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-0c91bc8c-trldmz03_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_1.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3000.0087890625
"8","tratspromsql01","Hard disk 2",51200,"[snap-5abfb02e-trldmz01_NoConstruir_migración] tratspromsql01/tratspromsql01_1.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-5abfb02e-trldmz01_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_1.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"9","tratspromsql01","Hard disk 6",819200,"[snap-5abfb02e-trldmz01_NoConstruir_migración] tratspromsql01/tratspromsql01_3.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-5abfb02e-trldmz01_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_3.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,800
"10","tratspromsql01","Hard disk 3",256000,"[snap-5abfb02e-trldmz01_NoConstruir_migración] tratspromsql01/tratspromsql01_2.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-5abfb02e-trldmz01_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_2.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250
"11","tratspromsql01","Hard disk 4",614400,"[snap-33be5b09-trldmz02_NoConstruir_migración] tratspromsql01/tratspromsql01.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-33be5b09-trldmz02_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600
"12","tratspromsql01","Hard disk 5",1228800,"[snap-33be5b09-trldmz02_NoConstruir_migración] tratspromsql01/tratspromsql01_1.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-33be5b09-trldmz02_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01_1.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1200
"13","tratspromsql01","Hard disk 1",51200,"[snap-5abfb02e-trldmz01_NoConstruir_migración] tratspromsql01/tratspromsql01.vmdk","cpnbd02","Microsoft Windows Server 2008 R2 (64-bit)","CPN","snap-5abfb02e-trldmz01_noconstruir_migraci<U+3E33663C>n"," tratspromsql01/tratspromsql01.vmdk","poweredOn",13881397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"14","tradpproprcs01","Hard disk 1",32768,"[tm_data_3] tradpproprcs01/tradpproprcs01.vmdk","trclmty06","Microsoft Windows Server 2008 (64-bit)","MTY","tm_data_3"," tradpproprcs01/tradpproprcs01.vmdk","poweredOff",86334,"naa.60000970000192603655533030444346",526336,70216,70216,456120,"60000970000192603655533030444346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"15","tradpproprcs01","Hard disk 2",20480,"[tm_data_3] tradpproprcs01/tradpproprcs01_1.vmdk","trclmty06","Microsoft Windows Server 2008 (64-bit)","MTY","tm_data_3"," tradpproprcs01/tradpproprcs01_1.vmdk","poweredOff",86334,"naa.60000970000192603655533030444346",526336,70216,70216,456120,"60000970000192603655533030444346",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
