"","servidor","aplicacion"
"1","TQSATDEVALMX01","sin aplicacion"
"2","TQSATUATDSVA01","sin aplicacion"
"3","TQSATDEVALMX06","sin aplicacion"
"4","TQSATDEVALMX04","sin aplicacion"
"5","TQSATDEVALMX09","sin aplicacion"
"6","TQSATDEVALMX03","sin aplicacion"
"7","TQSATDEVALMX07","sin aplicacion"
"8","TQSATDEVALMX05","sin aplicacion"
"9","TQSATDEVALMX10","sin aplicacion"
"10","TQSATDEVALMX08","sin aplicacion"
"11","TQSATDEVALMX02","sin aplicacion"
"12","TPL_TQ_W2K3_64_SP1_1_RFC87518_TQ","sin aplicacion"
"13","TQ12CDEVOHSC03","12C"
"14","TQ12CDEVOHSE05","12C"
"15","TQ12CDEVOHSE03","12C"
"16","TQ12CDEVOHSC02","12C"
"17","TQ12CDEVCOHC05","12C"
"18","TQ12CDEVWEBE03","12C"
"19","TQ12CDEVORCL05","12C"
"20","TQ12CDEVWEBE02","12C"
"21","TQ12CDEVORCL01","12C"
"22","TQ12CDEVCOHC06","12C"
"23","TQ12CDEVWEBC06","12C"
"24","TQ12CDEVWEBC02","12C"
"25","TQ12CDEVOHSE01","12C"
"26","TQ12CDEVWEBC03","12C"
"27","TQ12CDEVWEBE01","12C"
"28","TQ12CDEVORCL03","12C"
"29","TQ12CDEVOHSC04","12C"
"30","TQ12CDEVCOHC01","12C"
"31","TQ12CDEVCOHC03","12C"
"32","TQ12CDEVOHSE06","12C"
"33","TQ12CDEVCOHE05","12C"
"34","TQ12CDEVCOHC02","12C"
"35","TQ12CDEVWEBE04","12C"
"36","TQ12CDEVOHSE04","12C"
"37","TQ12CDEVCOHE01","12C"
"38","TQ12CDEVCOHE02","12C"
"39","TQ12CDEVORCL02","12C"
"40","TQ12CDEVCOHE04","12C"
"41","TQ12CDEVORCL06","12C"
"42","TQ12CDEVOHSC05","12C"
"43","TQ12CDEVWEBE06","12C"
"44","TQ12CDEVCOHE03","12C"
"45","TQ12CDEVORCL04","12C"
"46","TQ12CDEVWEBC01","12C"
"47","TQ12CDEVOHSC01","12C"
"48","TQ12CDEVWEBE05","12C"
"49","TQ12CDEVCOHE06","12C"
"50","TQ12CDEVWEBC05","12C"
"51","TQ12CDEVWEBC04","12C"
"52","TQ12CDEVOHSE02","12C"
"53","TQ12CDEVCOHC04","12C"
"54","TQ12CDEVOHSC06","12C"
"55","2012 DATA CENTER 64 BITS ENG","2012 DATA CENTER 64 BITS ENG"
"56","TR32DPROWASX02","32D"
"57","TR32DPROWASX01","32D"
"58","TQCOPUATPRTL06","32D"
"59","TQCOPUATWASX08","32D"
"60","TQCOPUATWASX03","32D"
"61","TQCOPUATPRTL08","32D"
"62","TQCOPUATPRTL07","32D"
"63","TQCOPUATPRTL05","32D"
"64","TQCOPUATPRTL02","32D"
"65","TQCOPUATPRTL01","32D"
"66","TQCOPUATJCKB08","32D"
"67","TQCOPUATJCKB07","32D"
"68","TQCOPUATJCKB05","32D"
"69","TQCOPUATJCKB04","32D"
"70","TQCOPPROWASX08","32D"
"71","TQCOPPROWASX06","32D"
"72","TQCOPPROWASX04","32D"
"73","TQCOPPROJKBP08","32D"
"74","TQCOPPROJKBP05","32D"
"75","TQCOPPROJKBP04","32D"
"76","TQCOPPROJKBP01","32D"
"77","TQCOPPROJCKB03","32D"
"78","TQCOPPROJCKB01","32D"
"79","TQIDNUATAMCC01","32D"
"80","TQIDNUATAMCR02","32D"
"81","TQCOPPROWASX07","32D"
"82","TQCOPUATJCKB02","32D"
"83","TQCOPUATJCKB06","32D"
"84","TQCOPPROWASX05","32D"
"85","TQCOPUATWASX02","32D"
"86","TQCOPUATJCKB03","32D"
"87","TQCOPUATWASX01","32D"
"88","TQCOPPROWASX02","32D"
"89","TQCOPUATWASX04","32D"
"90","TQCOPPROWASX03","32D"
"91","TQCOPPROJCKB04","32D"
"92","TQCOPPROJKBP06","32D"
"93","TQCOPUATWASX07","32D"
"94","TQCOPPROJCKB02","32D"
"95","TQCOPUATWASX09","32D"
"96","TQCOPPROJKBP02","32D"
"97","TQCOPPROWASX01","32D"
"98","TQCOPUATJCKB01","32D"
"99","TQCOPUATPRTL04","32D"
"100","TQCOPPROJKBP03","32D"
"101","TQCOPPROJKBP07","32D"
"102","TQCOPUATPRTL03","32D"
"103","TQCOPUATWASX05","32D"
"104","TQCOPUATWASX06","32D"
"105","TQSITPROORCL03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"106","TQSITPROORCL02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"107","TQSITPROORCL01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"108","TQGSCPROCOHC01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"109","TQIDNPROIPEE03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"110","TQIDNPROIPEE02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"111","TQIDNPROIPEE01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"112","TQIDNPROIPCC08","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"113","TQIDNPROIPCC07","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"114","TQIDNPROIPCC06","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"115","TQIDNPROIPCC05","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"116","TQIDNPROIPCC01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"117","TQIDNPROAGHE02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"118","TQIDNPROAGHC01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"119","TQGSCPROWEBE03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"120","TQGSCPROWEBC06","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"121","TQGSCPROWEBC02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"122","TQGSCPROWEBC01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"123","TQGSCPROORCL02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"124","TQGSCPROORCL01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"125","TQGSCPROOHSC02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"126","TQGSCPROOHSC01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"127","TQGSCPROCOHE01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"128","TQGSCPROCOHC02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"129","TQERMPO1","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"130","TQGSCPROOHSC03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"131","TQIDNPROIPEE04","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"132","TQERMPO2","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"133","TQIDNPROIPCC04","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"134","TQIDNPROAGHC02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"135","TQGSCPROWEBE01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"136","TQIDNPROIPEE05","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"137","TQGSCPROWEBE04","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"138","TQGSCPROWEBE02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"139","TQIDNPROIPCC02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"140","TQIDNPROAGHE03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"141","TQIDNPROAGHE04","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"142","TQIDNPROAGHE01","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"143","TQIDNPROIPCC03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"144","TQGSCPROWEBC04","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"145","TQGSCPROCOHE02","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"146","TQIDNPROIPEE06","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"147","TQGSCPROWEBC03","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
"148","TQGSCPROWEBC05","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento"
