"","aplicacion","consumo_asignado_app","consumo_usado_app","consumo_fantasia_app","General","n_centrales","consumo_x_general_asignado","consumo_x_general_usado"
"1","12C",30318,14582.39665,15735.60335,"Sin Direccion",1,30318,14582.39665
"2","2012 DATA CENTER 64 BITS ENG",64,8.4,55.6,"Sin Direccion",1,64,8.4
"3","32D",1161.16666666667,434.323722384712,726.842944281955,"Comunicaciones y Tecnologias de la Informacion",4,290.291666666667,108.580930596178
"4","32D",1161.16666666667,434.323722384712,726.842944281955,"Evaluacion",4,290.291666666667,108.580930596178
"5","32D",1161.16666666667,434.323722384712,726.842944281955,"Recaudacion",4,290.291666666667,108.580930596178
"6","32D",1161.16666666667,434.323722384712,726.842944281955,"Servicios al Contribuyente",4,290.291666666667,108.580930596178
"7","32D/ECU: Incorporacion respuesta negativa por subdeclarar ingresos al reporte de Opinion del Cumplimiento y Modificacion a la Estructura del Cumplimiento",7701.68962580771,3681.70844575463,4019.98118005308,"Sin Direccion",1,7701.68962580771,3681.70844575463
"8","32D: Autorizacion y Consulta Publica Reporte de Opinion del Cumplimiento del Contribuyente.",1917.33333333333,836.807111005651,1080.52622232768,"Sin Direccion",1,1917.33333333333,836.807111005651
"9","ACC",3430,716.3523,2713.6477,"Sin Direccion",1,3430,716.3523
"10","ACDMA/AMCI",912,262.48835,649.51165,"Comunicaciones y Tecnologias de la Informacion",1,912,262.48835
"11","ACE",3641,647.066742578125,2993.93325742188,"Sin Direccion",1,3641,647.066742578125
"12","ACM",642,101.43524765625,540.56475234375,"Sin Direccion",1,642,101.43524765625
"13","ACRONIS",200,60.810546875,139.189453125,"Sin Direccion",1,200,60.810546875
"14","ACW",25206.5900390625,12242.7029651962,12963.8870738663,"Sin Direccion",1,25206.5900390625,12242.7029651962
"15","ACW GRANJA/PLT",598.5,251.123305664063,347.376694335937,"Servicios al Contribuyente",1,598.5,251.123305664063
"16","ACW.",216,120.065625,95.934375,"Sin Direccion",1,216,120.065625
"17","ADA",3904,679.01695,3224.98305,"Sin Direccion",1,3904,679.01695
"18","ADM",49733.5625,6461.32228782552,43272.2402121745,"Aduanas",1,49733.5625,6461.32228782552
"19","ADU",394.075,371.380309594252,22.6946904057481,"Sin Direccion",1,394.075,371.380309594252
"20","ADUANAS",394.075,371.380309594252,22.6946904057481,"Aduanas",1,394.075,371.380309594252
"21","AFI",1087.9990234375,57.1711537109375,1030.82786972656,"Sin Direccion",1,1087.9990234375,57.1711537109375
"22","AGA",13686,1597.98920234375,12088.0107976563,"Sin Direccion",1,13686,1597.98920234375
"23","AGAFF: Fiscalizacion Electronica",5396.88205005013,1014.67223812001,4382.20981193012,"Sin Direccion",1,5396.88205005013,1014.67223812001
"24","AGC",28305,4187.266,24117.734,"Sin Direccion",1,28305,4187.266
"25","AGF",4610.86328125,1055.93852207031,3554.92475917969,"Sin Direccion",1,4610.86328125,1055.93852207031
"26","AGJ",1332,382.156842559524,949.843157440476,"Juridica",1,1332,382.156842559524
