"","servidor","DataCenter","tipo","Powerstate","fv","capacidad_total","capacidad_usada","capacidad_asignada"
"1","2012 data center 64 bits eng","QRO","OTROS","poweredOff","virtual",64,8.4,55.6
"2","a_tr04","MTY","OTROS","poweredOff","virtual",200,113.76953125,86.23046875
"3","acppkidevpkitemplateoracle","CPN","DESARROLLO","poweredOff","virtual",95,24.5765,70.4235
"4","acppkidevtemplate32bits","CPN","DESARROLLO","poweredOff","virtual",75,9.105,65.895
"5","acronis","QRO","OTROS","poweredOn","virtual",200,60.810546875,139.189453125
"6","admsatsql03","MTY","OTROS","poweredOn","virtual",110,74.283,35.717
"7","admsatsrm01","MTY","OTROS","poweredOn","virtual",128,113.0625,14.9375
"8","admsatsrmvr01.mty.ibm.net","MTY","OTROS","poweredOff","virtual",18,12.1554,5.8446
"9","admsatvmfs01","AGS","OTROS","poweredOn","virtual",476,416.8808,59.1192000000001
"10","all-sin177-16","CPN","OTROS","poweredOff","virtual",128,26.01875,101.98125
"11","analytics vm","MTY","OTROS","poweredOff","virtual",212,146.86796875,65.13203125
"12","avmotion2","QRO","OTROS","poweredOff","virtual",8,3.22053675612602,4.77946324387398
"13","capacity vmware","MTY","OTROS","poweredOff","virtual",32,14.73024,17.26976
"14","centos 64-bit","QRO","OTROS","poweredOff","virtual",60,31.8046875,28.1953125
"15","central07","CPN","OTROS","poweredOn","virtual",232.8447265625,29.0008106933594,203.843915869141
"16","central07","MTY","OTROS","poweredOn","virtual",232.8447265625,133.780937646484,99.0637889160156
"17","clon appserver_fopai 16oct15","QRO","OTROS","poweredOff","virtual",87,46.4406,40.5594
"18","clon pia_fopai 16oct15","QRO","OTROS","poweredOff","virtual",117,79.16923828125,37.83076171875
"19","clon-3005799_tqdypprowasj23-clon-3005799","QRO","PRODUCCION","poweredOn","virtual",96,21.80625,74.19375
"20","clon-3005799_tqdypprowasj24-clon-3005799","QRO","PRODUCCION","poweredOn","virtual",96,30.571875,65.428125
"21","clon-tqcopprowasx01","QRO","PRODUCCION","poweredOff","virtual",42,22.3398,19.6602
"22","clon-tqcopprowasx02","QRO","PRODUCCION","poweredOn","virtual",42,22.3398,19.6602
"23","clon-tqcopprowasx03","QRO","PRODUCCION","poweredOn","virtual",42,22.3398,19.6602
"24","clon-tqcopprowasx04","QRO","PRODUCCION","poweredOff","virtual",42,22.5099,19.4901
"25","clon-tqdypprowasj01","QRO","PRODUCCION","poweredOff","virtual",96,22.368,73.632
"26","clon-tqdypprowasj02","QRO","PRODUCCION","poweredOff","virtual",96,48.576,47.424
"27","clon-tqdypprowasj03","QRO","PRODUCCION","poweredOff","virtual",96,51.0624,44.9376
"28","clon-tqdypprowasj04","QRO","PRODUCCION","poweredOff","virtual",96,35.5632,60.4368
"29","clon-tqdypprowasj05","QRO","PRODUCCION","poweredOff","virtual",96,22.368,73.632
"30","clon-tqdypprowasj06","QRO","PRODUCCION","poweredOff","virtual",96,40.2571428571429,55.7428571428571
"31","clon-tqidcprodnet30","QRO","PRODUCCION","poweredOff","virtual",126,39.42421875,86.57578125
"32","clon-tqidcproiisx17","QRO","PRODUCCION","poweredOff","virtual",146,44.24912109375,101.75087890625
"33","clon-tqidcproiisx29","QRO","PRODUCCION","poweredOff","virtual",146,47.2675,98.7325
"34","clon-trjupprotrdo01","MTY","PRODUCCION","poweredOff","virtual",65,29.9208,35.0792
"35","clon-trsbvprowash01","MTY","PRODUCCION","poweredOff","virtual",56,18.7376,37.2624
"36","clon-trsbvprowash02","MTY","PRODUCCION","poweredOff","virtual",56,22.9572,33.0428
"37","clon-trsintstlrnr01","MTY","OTROS","poweredOff","virtual",83.8291015625,22.0763938964844,61.7527076660156
"38","clon_25102013_trptsproorcl01","MTY","PRODUCCION","poweredOff","virtual",292,97.7032,194.2968
"39","clon_cpnmapromsql01_130616","CPN","PRODUCCION","poweredOff","virtual",128,18.0608,109.9392
"40","clon_del_clon_tqacwuatmshp04","QRO","UAT","poweredOff","virtual",338,132.4284,205.5716
"41","clon_pruebas_indra","QRO","OTROS","poweredOff","virtual",138,25.0677,112.9323
"42","clon_satcpanftp02-150114","MTY","OTROS","poweredOff","virtual",244,95.5748,148.4252
"43","clon_test","MTY","OTROS","poweredOff","virtual",64,36.7712,27.2288
"44","clon_tqacwpromshp05_clon","QRO","PRODUCCION","poweredOff","virtual",289,154.6037109375,134.3962890625
"45","clon_tqacwpromshp09_clon","QRO","PRODUCCION","poweredOff","virtual",447,163.7361,283.2639
"46","clon_tqacwpromshp10_clon","QRO","PRODUCCION","poweredOff","virtual",447,170.95515,276.04485
"47","clon_tqacwuatmshp01","QRO","UAT","poweredOff","virtual",214,48.0216,165.9784
"48","clon_tqacwuatmshp02","QRO","UAT","poweredOff","virtual",214,59.3529,154.6471
"49","clon_tqacwuatmshp03","QRO","UAT","poweredOff","virtual",214,145.5735,68.4265
"50","clon_tqagpprocpri01_ori-qro3008960","QRO","PRODUCCION","poweredOff","virtual",64,19.459375,44.540625
"51","clon_tqagpproviin01_clon","QRO","PRODUCCION","poweredOff","virtual",32,11.8658628263145,20.1341371736855
"52","clon_tqcopprojkbp03_clon_100414","QRO","PRODUCCION","poweredOff","virtual",93,62.47529296875,30.52470703125
"53","clon_tqcopprojkbp04_clon_100414","QRO","PRODUCCION","poweredOff","virtual",93,62.47529296875,30.52470703125
"54","clon_tqcopprowasx03_clon_100414","QRO","PRODUCCION","poweredOff","virtual",42,22.3398,19.6602
"55","clon_tqcopprowasx04_clon_100414","QRO","PRODUCCION","poweredOff","virtual",42,18.7488,23.2512
"56","clon_tqeverprotoolf1","QRO","PRODUCCION","poweredOff","virtual",64,15.59375,48.40625
"57","clon_tqfiaproansr01","QRO","PRODUCCION","poweredOff","virtual",500,102,398
"58","clon_tqidcproactd02","QRO","PRODUCCION","poweredOff","virtual",96,95.9765625,0.0234375
"59","clon_tqidcprodnet40","QRO","PRODUCCION","poweredOff","virtual",126,4.13802862575729,121.861971374243
"60","clon_tqidcprofscl02","QRO","PRODUCCION","poweredOff","virtual",32,29.5859375,2.4140625
"61","clon_tqsinprocrmp24","QRO","PRODUCCION","poweredOff","virtual",72,39.751171875,32.248828125
"62","clon_tqsinprowasi04","QRO","PRODUCCION","poweredOff","virtual",42,15.00966796875,26.99033203125
"63","clon_tqsinprowasi05","QRO","PRODUCCION","poweredOff","virtual",42,9.6852,32.3148
"64","clon_tqsinprowasi06","QRO","PRODUCCION","poweredOff","virtual",42,16.6866,25.3134
"65","clon_tqsinprowasi07","QRO","PRODUCCION","poweredOff","virtual",42,9.6852,32.3148
"66","clon_tqsitstrapch01_clone","QRO","STRESS","poweredOn","virtual",97,13.7934,83.2066
"67","clon_tqsitstrapch02_clone","QRO","STRESS","poweredOn","virtual",97,13.7934,83.2066
"68","clon_tqsitstrapch03_clone","QRO","STRESS","poweredOn","virtual",88,12.5136,75.4864
"69","clon_tqsitstrcohe01_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"70","clon_tqsitstrcohe02_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"71","clon_tqsitstrcohe03_clon","QRO","STRESS","poweredOn","virtual",141,14.7486,126.2514
"72","clon_tqsitstrcohe04_clon","QRO","STRESS","poweredOn","virtual",141,14.7486,126.2514
"73","clon_tqsitstrcohe05_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"74","clon_tqsitstrcohe06_clon","QRO","STRESS","poweredOn","virtual",141,14.7486,126.2514
"75","clon_tqsitstrohsx04_clone","QRO","STRESS","poweredOn","virtual",85,12.087,72.913
"76","clon_tqsitstrohsx05_clone","QRO","STRESS","poweredOn","virtual",85,12.087,72.913
"77","clon_tqsitstrohsx06_clone","QRO","STRESS","poweredOn","virtual",85,12.087,72.913
"78","clon_tqsitstrohsx07_clone","QRO","STRESS","poweredOn","virtual",85,12.087,72.913
"79","clon_tqsitstrohsx08_clone","QRO","STRESS","poweredOn","virtual",85,12.087,72.913
"80","clon_tqsitstrwebl01_clon","QRO","STRESS","poweredOn","virtual",652.001953125,87.9550634765625,564.046889648438
"81","clon_tqsitstrwebl02_clon","QRO","STRESS","poweredOn","virtual",1128.00390625,101.55076953125,1026.45313671875
"82","clon_tqsitstrwebl03_clon","QRO","STRESS","poweredOn","virtual",144,15.0624,128.9376
"83","clon_tqsitstrwebl04_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"84","clon_tqsitstrwebl05_clon","QRO","STRESS","poweredOn","virtual",141,14.7486,126.2514
"85","clon_tqsitstrwebl06_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"86","clon_tqsitstrwebl07_clon","QRO","STRESS","poweredOn","virtual",141,14.7486,126.2514
"87","clon_tqsitstrwebl08_clon","QRO","STRESS","poweredOn","virtual",141,19.0209,121.9791
"88","clon_tqsituatwebl01","QRO","UAT","poweredOff","virtual",679,140.076904296875,538.923095703125
"89","clon_tqsituatwebl02","QRO","UAT","poweredOff","virtual",167,44.7833984375,122.2166015625
"90","clon_tqsituatwebl03","QRO","UAT","poweredOff","virtual",167,44.7833984375,122.2166015625
"91","clon_tqstiprowebl01_template nivel 3","QRO","PRODUCCION","poweredOff","virtual",82,24.1076171875,57.8923828125
"92","clon_tr_satcpanftp01","MTY","OTROS","poweredOff","virtual",12.578125,4.208640625,8.369484375
"93","clon_tr_satcpanftp02","MTY","OTROS","poweredOff","virtual",6.3115234375,2.90532046875,3.40620296875
"94","clon_trariuatbpub01_clon","MTY","UAT","poweredOff","virtual",164,54.8744,109.1256
"95","clon_tratsproiisx01","MTY","PRODUCCION","poweredOff","virtual",514,210.7143,303.2857
"96","clon_trbtoproppmc01","MTY","PRODUCCION","poweredOff","virtual",93.8818359375,38.4868586425781,55.3949772949219
"97","clon_trbtoproppmc01_clon_010114","MTY","PRODUCCION","poweredOff","virtual",93.8818359375,31.4128623046875,62.4689736328125
"98","clon_trbtotsppmd01_clon_240114","MTY","OTROS","poweredOff","virtual",87.8271484375,29.3869638671875,58.4401845703125
"99","clon_trbtotstppmc01_clon140613","MTY","OTROS","poweredOff","virtual",67.822265625,27.8037377929687,40.0185278320313
"100","clon_trbtotstppmd01_clon_28_ene_14","MTY","OTROS","poweredOff","virtual",87.8271484375,29.3869638671875,58.4401845703125
"101","clon_trbusuatmbfe01_22072016","CPN","UAT","poweredOff","virtual",92,60.671484375,31.328515625
"102","clon_trcpdprowasx03_clon_11032016","MTY","PRODUCCION","poweredOff","virtual",87,19.97085,67.02915
"103","clon_trcpdprowasx04_clon_11032016","MTY","PRODUCCION","poweredOff","virtual",87,19.97085,67.02915
"104","clon_trdecpronetx01","MTY","PRODUCCION","poweredOff","virtual",72,24.0912,47.9088
"105","clon_tridcprobizt02_caso_vmware_5.1","MTY","PRODUCCION","poweredOff","virtual",40.017578125,24.4560550689697,15.5615230560303
"106","clon_trnompromsql02_clone_qro4004627_","MTY","PRODUCCION","poweredOff","virtual",547.060546875,253.053797167969,294.006749707031
"107","clon_trpaiproiisx03","MTY","PRODUCCION","poweredOff","virtual",94,38.5353,55.4647
"108","clon_trsardevarca01","MTY","DESARROLLO","poweredOff","virtual",436,178.7382,257.2618
"109","clon_trsitproorcl03_clon_031213","MTY","PRODUCCION","poweredOff","virtual",265,108.63675,156.36325
"110","clon_trsitprooshx03_clon_031213","MTY","PRODUCCION","poweredOff","virtual",80,32.796,47.204
"111","clon_trsitproowebl03_clon_021213","MTY","PRODUCCION","poweredOff","virtual",128,42.8288,85.1712
"112","clon_trvcmproapps01","MTY","PRODUCCION","poweredOff","virtual",77,31.56615,45.43385
"113","clon_trvcmprochdc01","MTY","PRODUCCION","poweredOff","virtual",96,32.1216,63.8784
"114","clone tqsinstrprtl05","QRO","STRESS","poweredOff","virtual",72,7.9128,64.0872
"115","clonmigrado04102014-trbtoproqctr01","MTY","PRODUCCION","poweredOff","virtual",267.8056640625,164.37080431374,103.43485974876
"116","converter indra","MTY","OTROS","poweredOff","virtual",64,36.7712,27.2288
"117","converter_2_5.247","MTY","OTROS","poweredOn","virtual",450,358.45,91.55
"118","converter_app","QRO","OTROS","poweredOff","virtual",40,15.525390625,24.474609375
"119","converter_app_uat","QRO","UAT","poweredOn","virtual",40,8.222,31.778
"120","converter_dbx","QRO","OTROS","poweredOff","virtual",40,11.706,28.294
"121","converter_dbx_uat","QRO","UAT","poweredOff","virtual",40,1.622,38.378
"122","converter_web","QRO","OTROS","poweredOff","virtual",40,15.934,24.066
"123","copia_tridcproiisx11_copia","MTY","PRODUCCION","poweredOff","virtual",42,9.6411,32.3589
"124","copia_trilmproubun01_copia","MTY","PRODUCCION","poweredOff","virtual",50,11.4775,38.5225
"125","cp12cuatcohc01","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"126","cp12cuatcohc02","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"127","cp12cuatcohc03","CPN","UAT","poweredOn","virtual",153,51.35445,101.64555
"128","cp12cuatcohc04","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"129","cp12cuatcohe01","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"130","cp12cuatcohe02","CPN","UAT","poweredOn","virtual",153,51.35445,101.64555
"131","cp12cuatcohe03","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"132","cp12cuatcohe04","CPN","UAT","poweredOn","virtual",153,62.7147,90.2853
"133","cp12cuatohsc01","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"134","cp12cuatohsc02","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"135","cp12cuatohsc03","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"136","cp12cuatohsc04","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"137","cp12cuatohse01","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"138","cp12cuatohse02","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"139","cp12cuatohse03","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"140","cp12cuatohse04","CPN","UAT","poweredOn","virtual",162,106.8345703125,55.1654296875
"141","cp12cuatorcl01","CPN","UAT","poweredOn","virtual",5660.599609375,190.355557714844,5470.24405166016
"142","cp12cuatorcl02","CPN","UAT","poweredOn","virtual",5660.599609375,211.032557714844,5449.56705166016
"143","cp12cuatorcl03","CPN","UAT","poweredOn","virtual",5660.599609375,183.873557714844,5476.72605166016
"144","cp12cuatorcl04","CPN","UAT","poweredOn","virtual",5660.599609375,163.138557714844,5497.46105166016
"145","cp12cuatwebc01","CPN","UAT","poweredOn","virtual",153,62.7147,90.2853
"146","cp12cuatwebc02","CPN","UAT","poweredOn","virtual",153,75.42135,77.57865
"147","cp12cuatwebc03","CPN","UAT","poweredOn","virtual",153,75.42135,77.57865
"148","cp12cuatwebc04","CPN","UAT","poweredOn","virtual",153,62.29395,90.70605
"149","cp12cuatwebc05","CPN","UAT","poweredOn","virtual",153,86.33025,66.66975
"150","cp12cuatwebc06","CPN","UAT","poweredOn","virtual",153,86.33025,66.66975
"151","cp12cuatwebe01","CPN","UAT","poweredOn","virtual",153,86.33025,66.66975
"152","cp12cuatwebe02","CPN","UAT","poweredOn","virtual",153,62.7147,90.2853
"153","cp12cuatwebe03","CPN","UAT","poweredOn","virtual",153,62.7147,90.2853
"154","cp12cuatwebe04","CPN","UAT","poweredOn","virtual",153,51.35445,101.64555
"155","cp12cuatwebe05","CPN","UAT","poweredOn","virtual",153,62.7147,90.2853
"156","cp12cuatwebe06","CPN","UAT","poweredOn","virtual",153,51.35445,101.64555
"157","cp2cuatw12ea01","CPN","UAT","poweredOn","virtual",128,42.9632,85.0368
"158","cp2cuatw12eb01","CPN","UAT","poweredOn","virtual",128,19.5008,108.4992
"159","cp2cuatw12sq01","CPN","UAT","poweredOn","virtual",128,45.7344,82.2656
"160","cpacsprochdc01","CPN","PRODUCCION","poweredOn","virtual",128,11.968,116.032
"161","cpacwuateshp01","CPN","UAT","poweredOn","virtual",370,20.3315,349.6685
"162","cpacwuateshp02","CPN","UAT","poweredOn","virtual",370,20.3315,349.6685
